image_id,num_duplicates
1000083867497631.jpeg,2094
1000260950508607.jpeg,448
1000331870537439.jpeg,2976
1000457503626801.jpeg,3679
1000673677512222.jpeg,1784
1000870017088031.jpeg,3395
1001188047351004.jpeg,1404
1001719910372217.jpeg,151
1001758843826571.jpeg,1796
1002228293726523.jpeg,2462
1002832280406309.jpeg,88
1003187363616973.jpeg,995
1004065430157045.jpeg,386
1004182216608650.jpeg,0
1004316683817698.jpeg,247
1004425383449445.jpeg,1097
1006942283185903.jpeg,196
1008139319755534.jpeg,21
1010103596275084.jpeg,541
1011853842551581.jpeg,3
1012391649491201.jpeg,54
1014351136059600.jpeg,0
1015116612398768.jpeg,47
10154444678986279.jpeg,0
1016632625866196.jpeg,101
1018079101932434.jpeg,718
1019022031841563.jpeg,277
1020241871797028.jpeg,0
1021734378234715.jpeg,345
1022982251961276.jpeg,1
1023295647873608.jpeg,102
1023557971717845.jpeg,0
1023991154855681.jpeg,8
1024852661677351.jpeg,23
1039417606511356.jpeg,1
1044069536083027.jpeg,347
1044415002614357.jpeg,304
1046161322801617.jpeg,122
1047042029041723.jpeg,0
1047194172703828.jpeg,32
1051575261975775.jpeg,3
1052860521882541.jpeg,0
1054581805021560.jpeg,0
1056450618264751.jpeg,69
1059871661105399.jpeg,0
1062794987812076.jpeg,10
1064955533996626.jpeg,115
1074183279731450.jpeg,0
1081711019312877.jpeg,0
1085721532187331.jpeg,33
1105839966834412.jpeg,0
1121034101698744.jpeg,96
1126195301115935.jpeg,16
1139207266579331.jpeg,31
1139571740031400.jpeg,67
1140057260088059.jpeg,2
1161025064703734.jpeg,0
1165849540611708.jpeg,0
1166399570429868.jpeg,5
1169147896565852.jpeg,18
1183889478733536.jpeg,0
1202149589987736.jpeg,2
1221282001680148.jpeg,0
1231677650574954.jpeg,7
125803472687993.jpeg,3
126762249313458.jpeg,1
1269207179926285.jpeg,0
128133775824710.jpeg,0
1284104191767588.jpeg,0
1287473491984771.jpeg,0
1313287395766738.jpeg,0
1327604167608260.jpeg,2
1331883997270524.jpeg,0
134810948445126.jpeg,0
1358432561320105.jpeg,0
1364346547265028.jpeg,0
1368612193487732.jpeg,0
1379206669141751.jpeg,0
1408328446008515.jpeg,0
140981804350610.jpeg,9
141060734454728.jpeg,4
1415204168641870.jpeg,0
1417746688594786.jpeg,1
142542744477664.jpeg,0
142607767521378.jpeg,0
1429984664011542.jpeg,5
1439339679797961.jpeg,2
144507133920675.jpeg,0
1508580962672747.jpeg,2
1514046688794429.jpeg,0
1528408177523402.jpeg,3
1550265131975655.jpeg,3
1551504851715332.jpeg,2
1560460264302331.jpeg,1
156571986543905.jpeg,3
1577445089131894.jpeg,0
1636265600053755.jpeg,0
1638981506309568.jpeg,0
166293771996214.jpeg,0
167135854698882.jpeg,0
173025747919736.jpeg,8
176665078010463.jpeg,0
1774827726019090.jpeg,0
1830248517184546.jpeg,0
1871686582981914.jpeg,0
192271385384969.jpeg,0
1929741043831215.jpeg,0
196141095240167.jpeg,1
197003492547075.jpeg,0
1974493519424115.jpeg,0
197616524448825.jpeg,0
198042185653127.jpeg,0
199337405445946.jpeg,0
199406611983131.jpeg,0
202118984892317.jpeg,0
2024471137692873.jpeg,0
2025247194296570.jpeg,1
203040835060036.jpeg,0
203609078106019.jpeg,0
206287250952948.jpeg,1
206763767768802.jpeg,0
208223824063220.jpeg,0
208754784756138.jpeg,0
209049484293435.jpeg,1
214848966424482.jpeg,0
2169321679882506.jpeg,0
217104106846963.jpeg,1
2173075909650692.jpeg,0
219878176259252.jpeg,0
220068606406608.jpeg,1
2209823282480424.jpeg,0
223325429539117.jpeg,1
2248993188578486.jpeg,0
225818099029502.jpeg,0
226441809120031.jpeg,3
228734465484695.jpeg,0
228813625288241.jpeg,0
2323692371258839.jpeg,0
232576415242364.jpeg,0
233650098165003.jpeg,0
235839400444731.jpeg,0
236251541901285.jpeg,0
237043904068129.jpeg,0
237870494501261.jpeg,0
238362400389661.jpeg,0
239075954153631.jpeg,0
239569730483034.jpeg,0
242825517782713.jpeg,0
2443846319079563.jpeg,0
245094660719563.jpeg,0
245146703881764.jpeg,1
245772830274111.jpeg,0
2470135243316837.jpeg,0
252159859847278.jpeg,0
2529045757406875.jpeg,1
253841296177643.jpeg,2
256900285356480.jpeg,0
260492715439525.jpeg,0
267082821589824.jpeg,0
2673902672924505.jpeg,0
269172345117297.jpeg,0
2759043481078032.jpeg,0
2776057142501712.jpeg,0
2777898322503170.jpeg,0
2788944287993284.jpeg,0
2800901066829906.jpeg,0
2811432949173227.jpeg,1
281375559711820.jpeg,0
2834786649965384.jpeg,0
2840142966015053.jpeg,0
2846377322285504.jpeg,0
2865816203683565.jpeg,0
288841932583464.jpeg,0
289235972659561.jpeg,0
294098465935040.jpeg,1
294399788278384.jpeg,0
294858245557462.jpeg,0
2965849620298724.jpeg,0
297922091228595.jpeg,0
2996120163987105.jpeg,0
300245148485979.jpeg,0
3008254026088879.jpeg,0
306269640812142.jpeg,0
308828393314776.jpeg,0
313061366887679.jpeg,1
313320193927051.jpeg,0
313690337311786.jpeg,0
3145626122204646.jpeg,0
324095192580582.jpeg,0
328319062396325.jpeg,0
330696577816986.jpeg,0
333337815159377.jpeg,0
333582994355773.jpeg,1
333757064665484.jpeg,0
337523004341996.jpeg,0
338160931491967.jpeg,0
3420210954686176.jpeg,1
3471963989581068.jpeg,0
348044149951722.jpeg,0
348293943511524.jpeg,0
354484223098742.jpeg,0
3581243975290380.jpeg,0
362157615861552.jpeg,3
3641348772596907.jpeg,3
364778504411470.jpeg,0
3695774347174902.jpeg,0
379559553335691.jpeg,0
382291136397812.jpeg,0
382937429610906.jpeg,0
389428201752904.jpeg,0
389965199585523.jpeg,0
393114111315464.jpeg,0
395568745008035.jpeg,0
3967155996641470.jpeg,0
400274511247796.jpeg,0
400841807667305.jpeg,0
402204837638845.jpeg,0
404175704131936.jpeg,1
405294840892247.jpeg,0
408060860065963.jpeg,0
411155693649060.jpeg,1
412813326815415.jpeg,0
413889946966471.jpeg,0
417208922814992.jpeg,0
419398762834772.jpeg,0
420772042921770.jpeg,0
422595815458654.jpeg,0
423705492163000.jpeg,0
424729525363173.jpeg,0
427795458589731.jpeg,0
428075221717815.jpeg,0
428655007770036.jpeg,0
431877864671228.jpeg,0
432447511227450.jpeg,0
433709404678719.jpeg,0
4343914505656908.jpeg,0
4351025524912839.jpeg,1
444471550573222.jpeg,0
444769136813663.jpeg,0
446232230163349.jpeg,0
4489547871066966.jpeg,0
449382846321928.jpeg,0
449386083447474.jpeg,1
449792026013027.jpeg,0
452453262747030.jpeg,0
454236365423524.jpeg,0
460544251957024.jpeg,0
460795708359123.jpeg,1
461906624997620.jpeg,0
462303667954284.jpeg,0
464416795268498.jpeg,0
466751821382300.jpeg,0
469131504118053.jpeg,0
471703810937640.jpeg,0
476056650181981.jpeg,0
476486060032948.jpeg,0
477093006706486.jpeg,0
480074106361284.jpeg,0
481900986888846.jpeg,0
484489199947494.jpeg,0
490341081512164.jpeg,0
492687001734230.jpeg,0
493454738520635.jpeg,0
495301028106870.jpeg,1
496956951096301.jpeg,0
497383744562591.jpeg,0
498712018203198.jpeg,0
499979497448695.jpeg,0
505257370796853.jpeg,0
506356790374408.jpeg,0
509875737041674.jpeg,0
513981833038175.jpeg,0
517024089413434.jpeg,0
517768072306238.jpeg,0
520321662149951.jpeg,0
527792954647530.jpeg,0
538120626609941.jpeg,0
545668343259030.jpeg,0
550970475962992.jpeg,0
