image_id,duplicate_of,dominant_clr,sat_level,brightness_level
1000083867497631.jpeg,-,"(145, 112, 84)",Medium,Medium
1002640377157522.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1002886003817589.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1003649310387856.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1004315166639398.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1004378940391947.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1005415583565898.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1005493910282553.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1008442666671820.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1008531983279475.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1008664429901664.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1008687206553290.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1009237109819180.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1009507513155710.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1010128929787892.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1011512229674848.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1013116606103925.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1013531689430550.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1014440712654200.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1014602519283677.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1017279302166480.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1018046098999406.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1019131612161092.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1021420425342152.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1025091088257257.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1025732521506133.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1027972231341225.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1030075134205019.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1032056894269508.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1036858883827757.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1037614887021815.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1041155526672019.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1045009879612961.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1046997795705366.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1047438156088674.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1048539705682337.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1052712098869162.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1053440805396756.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1055318188559742.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1057410255061423.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1059036324627753.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
1060387434729479.jpeg,1000083867497631.jpeg,"(145, 112, 84)",Medium,Medium
