image_id,duplicate_of,dominant_clr,saturation,sat_level,brightness,brightness_level,Adults,Children
1000083867497631.jpeg,-,"(145, 112, 84)",96,Medium,136,Medium,2,2
1002640377157522.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1002886003817589.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1003649310387856.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1004315166639398.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1004378940391947.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1005415583565898.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1005493910282553.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1008442666671820.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1008531983279475.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1008687206553290.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1008664429901664.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1009237109819180.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1009507513155710.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1010128929787892.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1011512229674848.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1013116606103925.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1013531689430550.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1014440712654200.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1014602519283677.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1017279302166480.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1018046098999406.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1019131612161092.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1021420425342152.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1025091088257257.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1025732521506133.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1027972231341225.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1030075134205019.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1032056894269508.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1036858883827757.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1037614887021815.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1041155526672019.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1045009879612961.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1046997795705366.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1047438156088674.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1048539705682337.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1052712098869162.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1053440805396756.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1055318188559742.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1057410255061423.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1059036324627753.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1060387434729479.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1061516067588451.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1062244587651130.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1061977117668214.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1062287344299530.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1063864727686723.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1063911864381667.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1064579227694851.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1066253350572669.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1066302240873752.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1075761602827657.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1077289043082685.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1078935562640479.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1083291492439047.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1083402038732517.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1085651112202153.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1085495658646536.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1087328772104811.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1088976581634813.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1090150978178144.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1092167537976625.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1092649041482620.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1094850904591777.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1098210973918570.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1104516366620234.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1108850232973732.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1115803968929891.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1116898992172486.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1118623095328883.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1119074395168703.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1120911298660352.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1122409071584464.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1124880034667561.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1128288807978703.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1128750734265917.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1130918480761589.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1132274837267599.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1132350883920554.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1136409623513887.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
114725017453873.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1147789422421897.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1147897819038568.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1149956132203193.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1153428118503007.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1155225371654510.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1157953454680397.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1159250321245003.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1160697601117668.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1160843787760196.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1160892717669157.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
116150433971913.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1161536134359783.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1164346554040423.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1165041077316725.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1166572557183039.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1168334783663929.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
116711280584631.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1168582580328210.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1168828560258766.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1170460130134489.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1172351009956968.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1176061239574087.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1176869999447324.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1179491275901999.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1180573155785413.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1182416412238991.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1183014658844669.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
118266487093667.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1185472725289443.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1185593821913094.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1187231708415404.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1188894894921759.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1189201391595773.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1189491794853363.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1189887381493396.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1190156771455907.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1190682541357017.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1191115687965826.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
