image_id,duplicate_of,dominant_clr,saturation,sat_level,brightness,brightness_level,Adults,Children,human_emotion,image_sentiment,focus_subject
103274711606405.jpeg,-,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
107442487868938.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
109313950982785.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
106448784620543.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
109840947596059.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
104610754823257.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
112032387360723.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
113339963912442.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
113555010536455.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
114191763810696.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
114123057150486.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
104065304890508.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
116348186977956.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
116423043590336.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
115173607046647.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
117071790238138.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
116053900341076.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
116837560212543.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
116054770281609.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
117310860211495.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
118575693375401.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
118724576671390.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
119703903238646.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
120059763290970.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
118709623403685.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
120318573251093.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
120436316497946.jpeg,103274711606405.jpeg,"(158, 153, 151)",66,Medium,135,Medium,0,1,happy,positive,-
106325141396738.jpeg,-,"(213, 220, 228)",18,Low,228,High,0,0,-,neutral,bear
106038134743891.jpeg,106325141396738.jpeg,"(213, 220, 228)",18,Low,228,High,0,0,-,neutral,bear
119877116628888.jpeg,106325141396738.jpeg,"(213, 220, 228)",18,Low,228,High,0,0,-,neutral,bear
